"Question","Answer"
"A jar has 1000 coins, of which 999 are fair and 1 is double headed. Pick a coin at random, and toss it 10 times. Given that you see 10 heads, what is the probability that the next toss of that coin is also a head?","The probability of the next toss being a head is approximately 0.7531."
"What do you understand by statistical power of sensitivity and how do you calculate it?","Sensitivity is the ratio of true positives to actual positives, indicating the accuracy of a classifier."
"Why Is Re-sampling Done?","Resampling is done to estimate accuracy, substitute labels, or validate models using random subsets."
"What are the differences between over-fitting and under-fitting?","Overfitting occurs when a model learns noise in the training data, while underfitting happens when a model fails to capture underlying trends."
"How to combat Overfitting and Underfitting?","Use k-fold cross-validation, validation datasets, and regularization techniques."
"What is regularisation? Why is it useful?","Regularization adds a tuning parameter to prevent overfitting by controlling weights in the model."
"What Is the Law of Large Numbers?","It states that as experiments are repeated, the sample means converge to the expected value."
"What Are Confounding Variables?","Confounders influence both dependent and independent variables, potentially skewing results."
"What Are the Types of Biases That Can Occur During Sampling?","Selection bias, under coverage bias, and survivorship bias."
"What is Survivorship Bias?","It focuses on surviving subjects while overlooking those that did not survive, leading to skewed conclusions."
"What is selection Bias?","Selection bias occurs when the sample is not representative of the intended population."
"Explain how a ROC curve works?","ROC curves graphically represent the trade-off between true positive rates and false positive rates at various thresholds."
"What is TF/IDF vectorization?","TF-IDF reflects the importance of a word in a document relative to a collection, adjusting for common words."
"Why we generally use Softmax non-linearity function as last operation in-network?","Softmax converts outputs to a probability distribution, ensuring outputs sum to one."
"Python or R – Which one would you prefer for text analytics?","Python is preferred due to libraries like Pandas and faster performance for text analytics."
"How does data cleaning plays a vital role in the analysis?","Data cleaning increases accuracy and transforms data into a usable format for analysis."
"Differentiating between univariate, bivariate and multivariate analysis.","Univariate analysis involves one variable, bivariate involves two, and multivariate involves more than two variables."
"Explain Star Schema.","Star schema is a database structure with a central table connected to satellite tables for efficient querying."
"What is Cluster Sampling?","Cluster sampling is used when studying a wide population by dividing it into clusters and sampling from those."
"What is Systematic Sampling?","Systematic sampling selects elements from an ordered list in a circular manner."
"What are Eigenvectors and Eigenvalues?","Eigenvectors indicate directions of linear transformations, while eigenvalues indicate the strength of those transformations."
"Can you cite some examples where a false positive is important than a false negative?","In medical testing, a false positive can lead to unnecessary treatments, while in spam detection, it may lead to missed emails."
"Can you cite some examples where a false negative is important than a false positive?","In security screenings, a false negative can allow threats to pass through undetected."
"Can you cite some examples where both false positive and false negatives are equally important?","In banking, both false positives (wrongly denying loans) and false negatives (approving bad loans) are critical."
"Explain the difference between a Validation Set and a Test Set.","Validation set is used for parameter selection, while test set is used to evaluate model performance."
"Explain cross-validation.","Cross-validation estimates how well a model will generalize to independent datasets by using subsets of the data."
"What is Machine Learning?","Machine Learning explores algorithms that learn from and make predictions based on data."
"What is Supervised Learning?","Supervised learning infers a function from labeled training data."
"What is Unsupervised learning?","Unsupervised learning draws inferences from datasets without labeled responses."
"What are the various classification algorithms?","Classification algorithms include Decision Trees, Naive Bayes, SVM, and Neural Networks."
"What is ‘Naive’ in a Naive Bayes?","‘Naive’ refers to the assumption that features are independent given the class label."
"How do you build a random forest model?","A random forest combines multiple decision trees to improve accuracy and reduce overfitting."
"Explain SVM algorithm in detail.","SVM separates classes using hyperplanes based on provided kernel functions."
"What are the support vectors in SVM?","Support vectors are the data points closest to the decision boundary that influence the position of the hyperplane."
"What are the different kernels in SVM?","Different kernels include Linear, Polynomial, Radial Basis, and Sigmoid kernels."
"Explain Decision Tree algorithm in detail.","Decision trees partition data into subsets based on feature values, creating a tree structure for classification or regression."
"What are Entropy and Information gain in Decision tree algorithm?","Entropy measures the impurity of a dataset, while information gain quantifies the reduction in entropy after a split."
"What is pruning in Decision Tree?","Pruning reduces the size of a decision tree by removing nodes that provide little predictive power."
"What is logistic regression? State an example when you have used logistic regression recently.","Logistic regression predicts binary outcomes based on predictor variables, such as predicting election outcomes."
"What is Linear Regression?","Linear regression predicts the value of a variable based on the linear relationship with another variable."
"What Are the Drawbacks of the Linear Model?","Drawbacks include assumptions of linearity, inability to handle non-linear relationships, and overfitting issues."
"What is the difference between Regression and classification ML techniques?","Regression predicts continuous values, while classification predicts discrete labels."
"What are Recommender Systems?","Recommender systems predict user preferences based on past behaviors and preferences."
"What is Collaborative filtering?","Collaborative filtering predicts ratings based on user behavior and preferences from similar users."
"How can outlier values be treated?","Outliers can be assessed individually or substituted with percentile values."
"What are the various steps involved in an analytics project?","Steps include understanding the problem, exploring data, preparing data, modeling, validating, and implementing."
"During analysis, how do you treat missing values?","Missing values can be imputed with mean/median or dropped if a significant portion is missing."
"How will you define the number of clusters in a clustering algorithm?","Use techniques like the Elbow method to determine the optimal number of clusters."
"What is Ensemble Learning?","Ensemble Learning combines multiple models to improve stability and predictive power."
"Describe in brief any type of Ensemble Learning?","Bagging reduces variance by averaging predictions from multiple models, while boosting reduces bias by focusing on misclassified instances."
"What is a Random Forest? How does it work?","Random Forest is an ensemble method that combines multiple decision trees to improve accuracy and reduce overfitting."
"How Do You Work Towards a Random Forest?","Build decision trees on bootstrapped samples, select random predictors for splits, and use majority voting for predictions."
"What cross-validation technique would you use on a time series data set?","Use forward chaining to maintain the chronological order of data."
"What is a Box-Cox Transformation?","Box-Cox transformation normalizes non-normal dependent variables for regression analysis."
"How Regularly Must an Algorithm be Updated?","Update algorithms as data streams change, when performance declines, or when data sources evolve."
"If you are having 4GB RAM in your machine and you want to train your model on 10GB data set. How would you go about this problem?","Use techniques like batch processing or partial fitting to handle large datasets within memory limits."
"What do you mean by Deep Learning?","Deep Learning is a machine learning paradigm that uses neural networks to model complex patterns in data."
"What is the difference between machine learning and deep learning?","Machine learning encompasses various algorithms, while deep learning specifically refers to algorithms modeled after the human brain."
"What, in your opinion, is the reason for the popularity of Deep Learning in recent times?","The rise of data availability and powerful hardware, such as GPUs, has driven deep learning's popularity."
"Explain Neural Network Fundamentals","Neural networks mimic human brain function, processing inputs through layers to predict outputs."
"What is reinforcement learning?","Reinforcement learning teaches agents to make decisions by maximizing cumulative rewards through trial and error."
"What are Artificial Neural Networks?","Artificial Neural Networks are algorithms inspired by biological neural networks that learn patterns from data."
"Describe the structure of Artificial Neural Networks?","ANNs consist of an input layer, one or more hidden layers, and an output layer, with weighted connections."
"How Are Weights Initialized in a Network?","Weights can be initialized to zero or randomly; random initialization is preferred for better model performance."
"What Is the Cost Function?","The cost function measures the difference between predicted and actual values, guiding model training."
"What Are Hyperparameters?","Hyperparameters are settings that govern the training process and structure of a neural network."
"What Will Happen If the Learning Rate Is Set inaccurately (Too Low or Too High)?","A low learning rate slows training, while a high learning rate can cause divergence or instability."
"What Is the Difference Between Epoch, Batch, and Iteration in Deep Learning?","Epoch is one pass through the dataset, batch is a subset of data, and iteration is a single update of weights."
"What Are the Different Layers on CNN?","CNNs include convolutional layers, ReLU layers, pooling layers, and fully connected layers."
"What Is Pooling on CNN, and How Does It Work?","Pooling reduces spatial dimensions by down-sampling feature maps, retaining essential information."
"What are Recurrent Neural Networks(RNNs)?","RNNs are neural networks designed to recognize patterns in sequential data, maintaining information over time."
"How Does an LSTM Network Work?","LSTM networks manage long-term dependencies through gates that control memory and output."
"Tell me about a time when you had to explain a complex data concept to someone without a technical background. How did you ensure they understood?","In my previous role, I had to explain the concept of machine learning to our marketing team. I used the analogy of teaching a child to recognize different types of fruit. Just as you would show a child many examples to help them learn, a machine learning model is trained with data. This analogy helped make a complex concept more relatable and easier to understand."
"Describe a project where you had to work with a difficult team member. How did you handle the situation?","In one project, I worked with a colleague who had a very different working style. To resolve our differences, I scheduled a meeting to understand his perspective. We found common ground in our project goals and agreed on a shared approach. This experience taught me the value of open communication and empathy in teamwork."
"How do you stay updated with the latest trends and advancements in data science?","I stay updated by reading industry journals, attending webinars, and participating in online forums. I also set aside time each week to experiment with new tools and techniques. This not only helps me stay current but also continuously improves my skills."
"Can you tell us about a time when you had to work on a project with unclear or constantly changing requirements? How did you adapt?","In a previous project, the requirements changed frequently. I adapted by maintaining open communication with stakeholders to understand their needs. I also used agile methodologies to be more flexible in my approach, which helped in accommodating changes effectively."
"Describe a situation where you had to balance data-driven decision-making with other considerations (like ethical concerns, business needs, etc.).","In my last role, I had to balance the need for data-driven decisions with ethical considerations. I ensured that all data usage complied with ethical standards and privacy laws, and I presented alternatives when necessary. This approach helped in making informed decisions while respecting ethical boundaries."
"What are the assumptions required for a Linear Regression?","The four assumptions from a linear regression are: 1. Linear Relationship: there should be a linear relationship between independent variable x and dependent variable y. 2. Independence: there is no correlation between consecutive residuals. 3. Homoscedasticity: at every level of x, the variance should be constant. 4. Normality: the residuals are normally distributed."
"How do you handle a dataset missing several values?","There are various ways to handle missing data. You can: 1. Drop the rows with missing values. 2. Drop the columns with several missing values. 3. Fill the missing value with a string or numerical constant. 4. Replace the missing values with the average or median value of the column. 5. Use multiple-regression analyses to estimate a missing value."
"How do you explain technical aspects of your results to stakeholders with a non-technical background?","First, learn about the stakeholder’s background and modify your wording accordingly. Use visuals and graphs to simplify concepts. Focus on results rather than methodologies. Encourage questions to create a two-way communication channel."
"What are the feature selection methods used to select the right variables?","There are three main methods for feature selection: filter, wrapper, and embedded methods. Filter methods select features independent of any machine learning algorithms. Wrapper methods train the model iteratively using subsets of features. Embedded methods combine the qualities of both filter and wrapper methods."
"How can you avoid overfitting your model?","You can avoid overfitting by: 1. Keeping the model simple. 2. Using cross-validation techniques. 3. Training the model with more data. 4. Using data augmentation. 5. Using ensembling (Bagging and Boosting). 6. Using regularization techniques."
"List the different types of relationships in SQL.","There are four main types of SQL relationships: 1. One to One: each record in one table is related to one record in another table. 2. One to Many: each record in one table is linked to several records in another. 3. Many to Many: each record in one table is related to multiple records in another. 4. Self-Referencing Relationships: a table connects with itself."
"What are dimensionality reduction and its benefits?","Dimensionality reduction converts a dataset from several dimensions into fewer dimensions while maintaining similar information. Benefits include compressing data, reducing computational time, and removing redundant features."
"What is the goal of A/B Testing?","A/B testing eliminates guesswork and helps make data-driven decisions to optimize products or websites by analyzing two or more versions of variables."
"If the labels are known in a clustering project, how would you evaluate the performance of the model?","To evaluate clustering performance, use metrics like Silhouette Score, Calinski-Harabaz Index, and Davies-Bouldin Index to assess the distinctiveness and similarity between groups."
"Given a dictionary consisting of many roots and a sentence, stem all the words in the sentence with the root forming it.","Write a Python function that replaces words in a sentence with their corresponding root forms based on a provided list of roots."
"Check if String is a Palindrome","Write a function to check if a string reads the same forward and backward after cleaning non-alphanumeric characters."
"Find the second-highest salary","Write an SQL query to find the second-highest salary from a table by using DISTINCT and LIMIT with OFFSET."
"Find the duplicate emails","Write an SQL query to display all duplicate emails by grouping the email column and using HAVING clause."
"Explain confidence intervals","A confidence interval is a range of estimates for an unknown parameter that you expect to fall within a certain percentage of the time when you re-sample the population."
"How do you manage an unbalanced dataset?","Handle unbalanced datasets through undersampling, oversampling, creating synthetic data, or a combination of both."
"Write a function to generate N samples from a normal distribution and plot the histogram.","Use Numpy or SciPy to generate samples and Seaborn to plot the histogram."
"There are four people in an elevator and four floors in a building. What’s the probability that each person gets off on a different floor?","Calculate the probability by finding the total number of ways for people to get off the floors and the number of ways each can get off on different floors."
"What are the differences between Supervised and Unsupervised Learning?","Supervised learning is a type of machine learning where a function is inferred from labeled training data. Unsupervised learning draws inferences from datasets containing input data without labeled responses."
"What is Selection Bias and what are the various types?","Selection bias is a distortion of statistical analysis that results from the sample collecting method. Types include Sampling Bias, Time Interval, Data, and Attrition."
"What is the goal of A/B Testing?","A/B Testing is a statistical hypothesis testing meant for a randomized experiment with two variables, A and B, to maximize the likelihood of an outcome of interest."
"Between Python and R, which one would you pick for text analytics, and why?","Python is preferred for text analytics due to its Pandas library offering easy-to-use data structures and faster performance."
"What is the purpose of data cleaning in data analysis?","Data cleaning transforms data into a usable format and increases the accuracy of machine learning models."
"Can you compare the validation set with the test set?","A validation set is used for parameter selection and helps avoid overfitting, while a test set evaluates the performance of a trained model."
"What are linear regression and logistic regression?","Linear regression predicts a dependent variable based on an independent variable, while logistic regression predicts binary outcomes from a linear combination of predictor variables."
"Explain Recommender Systems and state an application.","Recommender Systems predict user preferences for products. An application is Amazon's product recommendations based on user history."
"What are the steps involved in an analytics project?","Steps include understanding the business problem, exploring data, preparing data, running the model, validating the model, and implementing it."
"What is Deep Learning?","Deep Learning is a machine learning paradigm that resembles human brain function, utilizing neural networks for tasks like image analysis and speech recognition."
"What is Gradient Descent?","Gradient descent is a minimization algorithm used to minimize a given activation function by calculating the gradient."
"What skills are important to become a Data Scientist?","Skills include knowledge of data types, expertise in NumPy Arrays, ability to apply Pandas Dataframes, and strong performance in vector operations."
"What are the skills a Data Scientist requires, with respect to Python data analysis?","Skills include understanding Pandas Dataframes, Scikit-learn, N-dimensional NumPy Arrays, and writing efficient Python code."
"Why is TensorFlow considered important in Data Science?","TensorFlow supports multiple languages and accelerates data science processes with CPU and GPU support."
"What is Dropout?","Dropout is a technique used to prevent overfitting by randomly dropping units from the neural network during training."
"What are the various Machine Learning Libraries and their benefits?","Libraries include Numpy for scientific computation, Statsmodels for time-series analysis, Pandas for data analysis, and TensorFlow for deep learning."
"State some Deep Learning Frameworks.","Frameworks include Caffe, Keras, TensorFlow, Pytorch, Chainer, and Microsoft Cognitive Toolkit."
"What is an Epoch?","An Epoch represents one iteration over the entire dataset during training."
"What is a Batch?","A Batch is a subset of the dataset used for training in neural networks."
"What is an iteration? State an example.","An iteration is a classification of data within an epoch. For example, with 50,000 images and a batch size of 100, there will be 500 iterations."
"What is the cost function?","Cost functions evaluate model performance by considering errors during the backpropagation process."
"What are hyperparameters?","Hyperparameters are parameters set before the learning process that define network training requirements."
"What are the differences between Deep Learning and Machine Learning?","Deep Learning allows learning without explicit programming and is a subset of Machine Learning focused on neural network algorithms."
"Explain overfitting and underfitting.","Overfitting occurs when a model learns noise in the training data, while underfitting happens when a model fails to capture the underlying trend."
"What is batch normalization?","Batch normalization normalizes inputs in each layer to improve performance and stability of neural networks."
"What do you mean by cluster sampling and systematic sampling?","Cluster sampling involves sampling from clusters of elements, while systematic sampling selects elements in a circular fashion from an ordered list."
"What are Eigenvectors and Eigenvalues?","Eigenvectors represent directions in linear transformations, while eigenvalues indicate the strengths of those transformations."
"What are outlier values and how do you treat them?","Outliers are abnormal observations in data. They can be treated by changing their values or removing them."
"How do you define the number of clusters in a clustering algorithm?","The number of clusters can be defined using the Within Sum of Squares method and plotting the Elbow Curve."
"How does backpropagation work? States the variants.","Backpropagation updates weights in a neural network by propagating errors backward. Variants include Batch Gradient Descent, Mini-batch Gradient Descent, and Stochastic Gradient Descent."
"What do you know about Autoencoders?","Autoencoders are networks that transform inputs into outputs with minimal error, using layers smaller than the input layer."
"Please explain the concept of a Boltzmann Machine.","A Boltzmann Machine uses a simple learning algorithm to discover features in training data."
"What is GAN?","Generative Adversarial Networks generate fake data by using a generator and a discriminator."
"What are the components of GAN?","Components include the Generator, which creates fake copies, and the Discriminator, which identifies real and fake copies."
"What is the Computational Graph?","A computational graph is a graphical representation of mathematical operations, characterized by data flows."
"What are tensors?","Tensors are mathematical objects representing higher-dimensional data inputs fed into neural networks."
"What is the difference between Batch and Stochastic Gradient Descent?","Batch Gradient Descent computes gradients using the entire dataset, while Stochastic uses a single sample for faster convergence."
"What is an Activation function?","An Activation function introduces non-linearity in neural networks, allowing them to learn complex functions."
"What are vanishing gradients?","Vanishing gradients occur when the slope is too small during training, leading to poor performance."
"What are exploding gradients?","Exploding gradients occur when errors grow exponentially during training, causing overflow and NaN values."
"What is the full form of LSTM? What is its function?","LSTM stands for Long Short Term Memory, a recurrent neural network capable of learning long-term dependencies."
"What are the different steps in LSTM?","Steps include deciding what to remember and forget, selecting cell state values to update, and determining current output."
"What is Polling in CNN?","Pooling reduces spatial dimensions in CNNs, downsampling operations to create pooled feature maps."
"What is RNN?","Recurrent Neural Networks are designed for sequential data, capturing relationships in time series and other sequences."
"What are the different layers on CNN?","Layers include Convolutional Layer, ReLU Layer, Pooling Layer, and Fully Connected Layer."
"What is an Artificial Neural Network?","Artificial Neural Networks are algorithms inspired by biological neural networks to adapt inputs for optimal output."
"What is Ensemble learning?","Ensemble learning combines diverse models to improve stability and predictive power."
"What are the different kinds of Ensemble learning?","Types include Bagging, which averages predictions from multiple models, and Boosting, which adjusts weights of observations."
"What is Data Science?","An interdisciplinary field that constitutes various scientific processes, algorithms, tools, and machine learning techniques working to help find common patterns and gather sensible insights from the given raw input data using statistical and mathematical analysis."
"Define the terms KPI, lift, model fitting, robustness and DOE.","KPI: Key Performance Indicator that measures how well the business achieves its objectives. Lift: A performance measure of the target model against a random choice model. Model fitting: Indicates how well the model fits given observations. Robustness: The system’s capability to handle differences and variances effectively. DOE: Design of experiments, which describes and explains information variation under hypothesized conditions."
"What is the difference between data analytics and data science?","Data science transforms data using technical analysis methods to extract insights, while data analytics checks existing hypotheses for better decision-making. Data science drives innovation, whereas data analytics focuses on historical context."
"What are some of the techniques used for sampling? What is the main advantage of sampling?","Probability Sampling techniques: Clustered sampling, Simple random sampling, Stratified sampling. Non-Probability Sampling techniques: Quota sampling, Convenience sampling, snowball sampling. The main advantage is that it allows analysis of large datasets by using representative samples."
"List down the conditions for Overfitting and Underfitting.","Overfitting: The model performs well only for the training data but fails on new data (low bias, high variance). Underfitting: The model is too simple to capture the data relationships (high bias, low variance)."
"Differentiate between the long and wide format data.","Long format: Each row represents one-time information of a subject. Wide format: Repeated responses of a subject are part of separate columns."
"What are Eigenvectors and Eigenvalues?","Eigenvectors are unit vectors whose length is equal to 1, while eigenvalues are coefficients applied on eigenvectors that change their length. They are used in methods like PCA for insights from matrices."
"What does it mean when the p-values are high and low?","Low p-value (≤ 0.05) indicates that the null hypothesis can be rejected; high p-value (≥ 0.05) indicates support for the null hypothesis."
"When is resampling done?","Resampling is done to improve accuracy and quantify the uncertainty of population parameters, ensuring the model handles variations."
"What do you understand by Imbalanced Data?","Data is imbalanced if it is distributed unequally across categories, leading to model performance issues."
"Are there any differences between the expected value and mean value?","Expected value is used in contexts involving random variables, while mean value refers to probability distribution."
"What do you understand by Survivorship Bias?","Survivorship Bias refers to focusing on aspects that survived a process while overlooking those that did not, leading to wrong conclusions."
"What is a Gradient and Gradient Descent?","Gradient measures how much the output changes with respect to input changes. Gradient Descent is a minimization algorithm that reduces the activation function."
"Define confounding variables.","Confounding variables are extraneous variables that influence both independent and dependent variables, causing spurious associations."
"Define and explain selection bias.","Selection bias occurs when participant selection is not random, leading to systematic errors. Types include Sampling Bias, Time Interval, Data, and Attrition."
"Define bias-variance trade-off.","Bias is an error due to oversimplification, while variance is an error due to excessive complexity. The trade-off involves balancing low bias and low variance for optimal performance."
"Define the confusion matrix.","A confusion matrix is a 2x2 matrix used to derive measures like specificity, error rate, accuracy, precision, sensitivity, and recall from a binary classifier."
"What is logistic regression? State an example where you have recently used logistic regression.","Logistic Regression predicts binary outcomes from a linear combination of variables. Example: Predicting election outcomes based on campaign spending."
"What is Linear Regression? What are some of the major drawbacks of the linear model?","Linear regression predicts Y based on X. Drawbacks include the assumption of linearity and inability to handle binary outcomes."
"What is a random forest? Explain its working.","Random forest is an ensemble of decision trees that gives class predictions based on majority voting from multiple trees."
"In a time interval of 15-minutes, the probability that you may see a shooting star or a bunch of them is 0.2. What is the percentage chance of you seeing at least one star shooting from the sky if you are under it for about an hour?","The probability of seeing at least one shooting star in an hour is approximately 60%."
"What is deep learning? What is the difference between deep learning and machine learning?","Deep learning is a machine learning paradigm involving multiple layers of processing to extract features. It simulates human brain functions."
"How are the time series problems different from other regression problems?","Time series data incorporates autocorrelation and trends, with a focus on forecasting, while other regression problems may not account for time-related patterns."
"What are RMSE and MSE in a linear regression model?","RMSE (Root Mean Square Error) measures the deviation of residuals, while MSE (Mean Squared Error) represents the average of squared differences between actual and predicted values."
"What are Support Vectors in SVM (Support Vector Machine)?","Support vectors are the closest data points to the hyperplane that affect the position of the hyperplane in SVM."
"What will you do if your laptop’s RAM is only 4GB and you want to train your model on a 10GB dataset?","Use techniques like loading data with Numpy arrays for neural networks or dividing the dataset for SVM to handle memory constraints."
"Explain Neural Network Fundamentals.","Neural networks mimic human brain neurons, learning patterns from data to predict outputs without human assistance. They consist of input, hidden, and output layers."
"What is Generative Adversarial Network?","GAN consists of a generator that creates data and a discriminator that distinguishes between real and fake data, used for tasks like image generation."
"What is a computational graph?","A computational graph is a dataflow graph used in deep learning libraries like TensorFlow, representing operations as nodes and tensors as edges."
"What are auto-encoders?","Auto-encoders are learning networks that transform inputs into outputs with minimal errors, using layers smaller than the input layer for encoding."
"What are Exploding Gradients and Vanishing Gradients?","Exploding gradients occur when error gradients accumulate excessively, while vanishing gradients happen when the slope becomes too small, affecting training performance."
"What is the p-value and what does it indicate in the Null Hypothesis?","P-value indicates the strength of results against the null hypothesis; low values suggest rejection of the null hypothesis, while high values suggest acceptance."
"Why is TensorFlow the most preferred library in deep learning?","TensorFlow offers C++ and Python APIs, fast compilation speed, and supports both GPU and CPU computing, making it a popular choice."
"Suppose there is a dataset having variables with missing values of more than 30%, how will you deal with such a dataset?","For small datasets, substitute missing values with the mean; for larger datasets, remove rows with missing values."
"What is Cross-Validation?","Cross-Validation is a statistical technique for improving model performance by rotating training and testing with different samples."
"What are the differences between correlation and covariance?","Correlation measures the strength of relationships between variables, while covariance indicates how two variables change together."
