"問題","答案"
"How to create a PostgreSQL user?","There are two methods in which you can create user.\nMethod 1: Creating the user in the PSQL prompt, with CREATE USER command.\n# CREATE USER ramesh WITH password 'tmppassword';\nCREATE ROLE\nMethod 2: Creating the user in the shell prompt, with createuser command.\n$ /usr/local/pgsql/bin/createuser sathiya\nShall the new role be a superuser? (y/n) n\nShall the new role be allowed to create databases? (y/n) n\nShall the new role be allowed to create more new roles? (y/n) n\nCREATE ROLE"
"How to create a PostgreSQL Database?","There are two methods in which you can create two databases.\nMethod 1: Creating the database in the PSQL prompt, with createuser command.\n# CREATE DATABASE mydb WITH OWNER ramesh;\nCREATE DATABASE\nMethod 2: Creating the database in the shell prompt, with createdb command.\n$ /usr/local/pgsql/bin/createdb mydb -O ramesh\nCREATE DATABASE\n* -O owner name is the option in the command line."
"How do I get a list of databases in a PostgreSQL database?","# \\l  [Note: This is backslash followed by lower-case L]\nList of databases\nName | Owner | Encoding\n----------+----------+----------\nbackup | postgres | UTF8\nmydb | ramesh | UTF8\npostgres | postgres | UTF8\ntemplate0 | postgres | UTF8\ntemplate1 | postgres | UTF8"
"How to Delete/Drop an existing PostgreSQL database?","# \\l\nList of databases\nName | Owner | Encoding\n----------+----------+----------\nbackup | postgres | UTF8\nmydb | ramesh | UTF8\npostgres | postgres | UTF8\ntemplate0 | postgres | UTF8\ntemplate1 | postgres | UTF8\n# DROP DATABASE mydb;\nDROP DATABASE"
"Getting help on PostgreSQL commands","\\? will show PSQL command prompt help. \\h CREATE will shows help about all the commands that starts with CREATE, when you want something specific such as help for creating index, then you need to give CREATE INDEX.\n# \\?\n# \\h CREATE\n# \\h CREATE INDEX"
"How do I get a list of all the tables in a PostgreSQL database?","# \\d\nOn an empty database, you’ll get “No relations found.” message for the above command."
"How to turn on timing, and checking how much time a query takes to execute?","# \\timing — After this if you execute a query it will show how much time it took for doing it.\n# \\timing\nTiming is on.\n# SELECT * from pg_catalog.pg_attribute ;\nTime: 9.583 ms"
"How To Backup and Restore PostgreSQL Database and Table?","We discussed earlier how to backup and restore postgres database and tables using pg_dump and psql utility."
"How to see the list of available functions in PostgreSQL?","To get to know more about the functions, say \\df+\n# \\df\n# \\df+"
"How to edit PostgreSQL queries in your favorite editor?","# \\e\n\\e will open the editor, where you can edit the queries and save it. By doing so the query will get executed."
"Where can I find the PostgreSQL history file?","Similar to the Linux ~/.bash_history file, PostgreSQL stores all the sql command that was executed in a history file called ~/.psql_history as shown below.\n$ cat ~/.psql_history\nalter user postgres with password 'tmppassword';\n\\h alter user\nselect version();\ncreate user ramesh with password 'tmppassword';\n\\timing\nselect * from pg_catalog.pg_attribute;"
"Explain what is PostgreSQL?","This is regarded as one of the most successful open source database in the world. This is also used to create advanced applications. This relies on Object relational database management system. Familiarity with UNIX and Linux can be an added advantage while using PostgreSQL."
"State some of the advanced features of PostgreSQL?","These are the following features which are present in PostgreSQL they are: 1) Object relational database 2) Extensibility and support for SQL 3) Database validation and flexible API 4) Procedural languages and MVCC 5) Client server and WAL."
"Explain about Write Ahead logging?","This feature increases the reliability of the database by logging changes before any changes or updations to the data base. This provides log of database incase of a database crash. This helps to start the work from the point it was discontinued."
"Explain about Multi version concurrency control?","Multi version concurrency control or MVCC is used to avoid unnecessary locking of the database. This removes the time lag for the user to log into his database. This feature or time lag occurs when some one else is on the content. All the transactions are kept as a record."
"How to start the database server?","/usr/local/etc/rc.d/010.pgsql.sh start /usr/local/etc/rc.d/postgresql start"
"How to stop the database server?","/usr/local/etc/rc.d/010.pgsql.sh stop /usr/local/etc/rc.d/postgresql stop"
"How to check whether PostgreSQL server is up and running?","/usr/local/etc/rc.d/010.pgsql.sh status /usr/local/etc/rc.d/postgresql status?"
"What are the languages which PostgreSQL supports?","Some of the languages which PostgreSQL supports are as follows: - It supports a language of its own known as PL/pgSQL and it supports internal procedural languages. Pl/pgSQL can be compared to oracle, PL/SQL, etc. Languages such as Perl, Python, TCL can be used as embedded languages."
"Explain about the command enable debug?","This command is used for enabling compilation of all libraries and applications. This process generally slows down the system and it also increases the binary file size. Debugging symbols are present which can assist developers in noticing bugs and problems associated with their script."
"Explain about functions in PostgreSQL?","Functions are important because they help the code to be executed on the server. Some of the languages which can program functions for efficient use are PL/pgSQL which is the native language of PostgreSQL. Scripting languages are supported by many languages such as PHP, Perl, Python, etc. PL/R a statistical language can also be used."
"Explain about indices of PostgreSQL?","There are built in functions such as B-tree, hash table, and GIST indices can be used or users can define their own indices. PostgreSQL can scan the index backwards. Expression index could be created with the result of an expression. Partial index created with addition of WHERE clause."
"Explain about Triggers?","By SQL query you can trigger an event. Triggers can be activated with the help of INSERT and UPDATE queries. These can be attached to tables. Triggers more than one can be triggered alphabetically. These triggers have the capability to invoke functions from other languages."
"What are the different data types supported by PostgreSQL?","There are different data types which are supported they are: - 1) Arbitrary precision numeric's 2) Geometric primitives 3) Arrays 4) XML etc Users can create their own indexes and make them indexed."
"Explain about database administration tools?","There are various data administration tools they are 1) Psql 2) Pgadmin 3) Phppgadmin Most of these tools are front end administration tools and web based interfaces. Out of these phppgadmin is the most popular one."
"Explain about pgadmin?","Pgadmin forms a graphical front end administration tool. This feature is available under free software released under Artistic License. Pgadmin iii is the new database administration tool released under artistic license."
"How do you create a data base with postgreSQL?","Creating a database is the primary step in creating a database. A command $createdb newdatabasedb CREATE DATABASE This creates a new database and a message displays CREATE DATABASE which indicates that the creation of the database was successful."
"What are the various enhancements to the straight relational data model by PostgreSQL?","There are various enhancements provided to the straight relational data model by postgre SQl they are support for arrays which includes multiple values, inheritance, functions and extensibility. Jargon differs because of its object oriented nature where tables are called as classes."
"Explain about tokens?","Tokens are also known to contain several special character symbols. It can be considered as keyword, constant, identifier and quoted identifier. Keywords include pre defined SQL meanings and SQL commands. Variable names such as tables, columns, etc are represented by identifiers."
"Explain about string constants?","String constant contains a sequence of characters bound by single quotes. This feature is used during insertion of a character or passing character to database objects. PostgreSQL allows the usage of single quotes but embedded by a C style backslash. This feature is important in parsing data."
"Explain about concurrency with the help of MVCC?","Multi version concurrency control is used to manage concurrency. This feature is very useful because changes made in the database will not be visible to other users until the transaction is completed. This removes the need for read locks. ACID principles are given a further boost by this feature and can be implemented in general."
"How to create a database?","/usr/local/bin/createdb mydatabase"
"How to list the number of database?","su -l pgsql psql -l"
"How to take backup of database?","/usr/local/bin/pg_dump mydatabase > mydatabase.pgdump"
"How to create a PostgreSQL user?","CREATE USER usr WITH password 'passwd';"
