"問題","答案"
"How will you handle risk management when it comes to securing the transaction records?","Identify threats, have a backup plan, and consider risk management software."
"Are there any network-specific conditions for employing Blockchain technology in an organization?","No specific conditions, but a peer-to-peer network under specific protocols is required."
"1. What is Blockchain technology?", "The blockchain is an incorruptible digital ledger of economic transactions that can be programmed to record not just financial transactions but virtually everything of value."
"2. What is Blockchain Wallet and How Does It Work?", "A blockchain wallet is a piece of digital software that stores private and public keys, as well as tracks and records all transactions involving those keys on the blockchain."
"3. What Is Ethereum (ETH)?", "Ethereum is an open-source software platform based on Blockchain technology that enables developers to build and deploy decentralized applications."
"4. What is the difference between Bitcoin blockchain and Ethereum?", "Bitcoin was created solely for the purpose of being a digital currency, whereas Ethereum blockchain is a broader version of blockchain technology."
"5. What are Smart Contracts and how do they work?", "A smart contract is a computer code-based agreement between two individuals stored on a public ledger that cannot be modified."
"6. What Is Cryptocurrency Mining and how Bitcoin mining works?", "Crypto mining refers to the process of obtaining cryptocurrencies by solving cryptographic equations."
"7. What is a Blockchain Explorer?", "A Blockchain Explorer is a piece of software that draws data from a blockchain using an API and organizes it in a searchable format."
"8. What Is Hashing in Blockchain?", "Hashing in the blockchain refers to the process of making an input item of any length represent an output item of a fixed length."
"9. What are the different types of Blockchain?", "There are four types of blockchains: Public, Private, Consortium, and Hybrid."
"10. What are the benefits of Blockchain Technology?", "Blockchain technology offers advanced security, transparency, cost reduction, efficiency, and immediate traceability."
"How are transactions and blocks encrypted in the Bitcoin implementation?","Bitcoin blocks are not encrypted in any way: Every block is public. What prevents modifications and guarantees data integrity is a value called the block hash. Block content is processed using a special hash function—in the case of Bitcoin, it’s SHA256—and the resulting value is included in the blockchain."
"Explain why a blockchain needs tokens to operate.","Coins/tokens are used to implement changes between states. When somebody does a transaction, this is a change of state, and coins are moved from one address to another. Apart from that, transactions can contain additional data, and a change of state is used to mutate data—the only way to do this in an immutable-by-definition blockchain. Technically, a blockchain doesn’t need coins for its essential operations, but without them, some other way needs to be introduced to manage states of the chain and to verify transactions."
"How does peer discovery work in a peer-to-peer (P2P) network?","When a new node boots up, it doesn’t know anything about the network, because there is no central server. Usually developers provide a list of trusted nodes written directly into the code that can be used for initial peer discovery."
"How do verifiers check if a block is valid?","Every full node on the network does block verification. When a new block is announced, every node that receives it does a list of checks. The two most important checks are of proof of work (if a block provides enough work to be included into chain) and of the validity of all transactions (each transaction must be valid)."
"What is a scriptPubKey? Explain how a P2SH address can be spent.","A scriptPubKey is a so-called 'locking script.' It’s found in transaction output and is the encumbrance that must be fulfilled to spend the output. P2SH is a special type of address where the complex locking script is replaced with its hash. When a transaction attempting to spend the output is presented later, it must contain the script that matches the hash, in addition to the unlocking script."
"Using Script, write a redeem script that will allow a user to spend the output only when the user knows the magic number 1234567.","OP_EQUALVERIFY\nscriptPubKey: 1234567 OP_EQUALVERIFY\nscriptSig: 1234567"
"Using Script, write a redeem script that will allow anyone to spend the output once it has aged for a minimum of 30 days.","scriptPubKey: '30d' OP_CHECKSEQUENCEVERIFY OP_VERIFY\nscriptSig: empty"
"What is a trapdoor function, and why is it needed in blockchain development?","A trapdoor function is a function that is easy to compute in one direction but difficult to compute in the opposite direction unless you have special information. Trapdoor functions are essential for public key encryption—that’s why they are commonly used in blockchain development to represent the ideas of addresses and private keys."
"Explain the purpose of mining in blockchain networks.","Mining is the process of reaching consensus in blockchain networks. Mining serves two purposes. First, it creates new coins in a generated block. Second, it includes transactions in a distributed ledger by providing proof of work to the network; that is, proof that the generated block is valid."
"Explain the concept of forking in blockchain.","Blocks in the ledger are included in such a way as to build the longest chain, i.e., the chain with the greatest cumulative difficulty. Forking is a situation where there are two candidate blocks competing to form the longest blockchain and two miners discover a solution to the proof-of-work problem within a short period of time from each other. The network is then divided, because some nodes get blocks from miner #1 and some from miner #2."
"Q 1. What do you understand by Blockchain?","The blockchain is a redistributed distributed database of immutable records. The technology was discovered with the invention of Bitcoins (the 1st cryptocurrency). It’s a trusty approach and there are heaps of firms within the present situation that are using it. As everything is secure, and since it’s an open source approach, it will simply be sure in the long run."
"Q 2. What is the principle of Blockchain Technology?","It allows the information to be distributed among the users while not being traced."
"Q 3. What are the various types of Blockchains?","Blockchains are of 3 types: Public, Private, Consortium."
"Q 4. Why is Blockchain a trustworthy approach?","Blockchain can be trustworthy thanks to such a large amount of reasons. Its compatibility with different business applications thanks to its open-source nature."
"Q 5. Name the 2 kinds of records that are present within the Blockchain Database?","These records are block records and transactional records."
"Q 6. What do you mean by blocks within the Blockchain Technology?","Blockchain consists of a list of records. Such records are kept in blocks."
"Q 7. How is a block recognized within the Blockchain approach?","Every block during this online ledger essentially consists of a hash pointer that acts as a link to the block that is before it, transaction knowledge and in fact a stamp of time."
"Q 8. Is it possible to switch the data once it’s written in an exceeding block?","No, it’s impossible to do so. Just in case any modification is needed, the organization merely has to erase the knowledge from all different blocks too."
"Q 9. What exactly does one comprehend the security of a block?","A block or the complete blockchain is protected by a powerful cryptographic hash algorithm."
"Q 10. What are Merkle trees? How vital are Merkle trees in Blockchains?","Merkle Tree additionally called ‘hash tree’ is a data structure in cryptography during which every leaf node could be a hash of a block of knowledge."
"Q 11. Name the common sort of ledgers which will be thought of by users in Blockchain?","These are: Centralized Distribution, Decentralized distribution, Distributed network."
"Q 12. How is a blockchain ledger different from a standard one?","The first and of course the prime distinction is Blockchain is a digital ledger which will be decentralized terribly simply."
"Q 13. What type of records is kept in a Blockchain? Is there any restriction on same?","There is no restriction on keeping records of any sort within the Blockchain approach."
"Q 14. Can you explain the elements of Blockchain Ecosystem?","There square measure four completely different part of Blockchain system: Shared Ledger, Virtual Machine, Node application, Consensus Algorithm."
"Q 15. State difference between proof of stake and proof of work.","Proof of Work: The possibility of Mining a Block depends upon the amount of work a miner does. Proof of Stake: Stakeholder Validate new block by utilizing their share of coin on the network."
"Q 16. Name some widespread platforms for developing blockchain applications.","Ethereum came right after the evolution of Bitcoins, and is one in all the favored public platforms for building Blockchain primarily based applications."
"Q 17. What are the advantages of Blockchain that you simply know?","There are plenty of benefits for Blockchain: Settlement in real time, Cost saving, Immutability, Security, User Pseudonymity."
"Q 18. Each and every block of Blockchain consist of what elements?","Each and every block include three major parts: A hash pointer to the previous block, Timestamp, List of transactions."
"Q 19. Which one Bitcoin or Ethereum was the first distributed blockchain implementation?","The answer is Bitcoin as it was found on 8th August 2008."
"Q 20. What are the forms in which Blockchain can be stored?","The blockchain is a distributed ledger which can be stored in 2 Forms: A flat file, A Database."
"Q 21. In Blockchain, blocks are linked in what series?","In Blockchain Blocks are arranges within the Backward to the previous block series."
"Q 22. What is the primary benefit of immutability?","The foremost basic benefit is increased efficiency."
"Q 23. Is it true that a block in the blockchain can never have more than one parent block?","Yes, it’s true that Blockchain can never have a parent Block."
"Q 24. State an example of asymmetric encryption Algorithm?","The example of asymmetric is RSA."
"Q 25. What are some of the widely used cryptographic algorithms?","Some of the most usually used algorithms are RSA, Triple DES, Blowfish, Twofish, AES."
"Q 26. What are the various approaches employed in attacking the RSA algorithm?","Different approaches include Brute force and Mathematical attacks."
"Q 27. Explain the importance of blind signature and the way it’s useful?","It is a type of digital signature within which the content of a message is disguised before it’s signed."
"Q 28. What is Secret Sharing? Will it have any benefit in Blockchain technology?","Secret sharing is an approach that divides secret or personal data into different units and sent them to the users on the network."
"Q 29. Can you make a case for what square are off-chain transactions?","Off-chain dealing is that the movement of value outside of the blockchain."
"Q 30. What precisely does one know about executive accounting? Does Blockchain support the same?","Executive accounting is a special form of accounting that is intended solely for a business that provides services to the individuals."
"Q1. What are the major differences between Bitcoin blockchain and Ethereum blockchain?","1. Bitcoin is a smart currency while Ethereum is for smart contracts. 2. The algorithm used for bitcoin is SHA-256 whereas for Ethereum, its ether. 3. While blockchain has a block time of 10 minutes, Ethereum has a block time of a mere 12-14 seconds. 4. While blockchain has not yet been deemed scalable, the prospects to scale Ethereum are huge."
"Q2. What are the main advantages of blockchain? Is there a single type of blockchain?","The biggest advantage of blockchain which has made it so popular is its ability to enable information to be distributed without letting the users copy it. No, there are three types of blockchain; Public, Consortium, and Private."
"Q3. What are the types of records that are present in the blockchain database?","There are two types of records in any given blockchain database. They are: 1. Transactional Records 2. Block Records"
"Q4. List the key features of blockchain?","The four main key features of blockchain are: 1. Decentralized Systems 2. Safer & Secure Ecosystem 3. Distributed Ledger 4. Minting"
"Q5. What is encryption? Does it have a role to play in blockchain?","Encryption is a process that helps the owner to keep his data safe. Yes, Blockchain heavily relies on it as a process and an approach to secure data."
"Q6. We spoke about securing blocks, what are these blocks?","Records that form the core of data in a Blockchain are stored in blocks. These blocks, when linked to other blocks, create a chain which is called Blockchain."
"Q7. Is there a difference between Wei and Ether?","Yes, there is a difference between Wei and Ether based on their value. 1 Ether = 1⁰¹⁸ Wei."
"Q8. What is a Security Policy?","Security Policy defines the things that need to be secured on a system. It binds a user within some protocols that it must agree to and follow."
"Q9. What are the most extensively used cryptographic algorithms?","The most important of them are: 1. RSA 2. Triple DES 3. Blowfish 4. Twofish 5. AES"
"Q10. Is RSA a secure algorithm?","Yes, RSA is a very secure algorithm. But there are different ways that this algorithm is attacked."
"Q11. Does Secret Sharing have any significance in blockchain technology?","Security is the most important part of a digital transaction and developers have used the approach of Secret Sharing for this very purpose."
"Q12. What are off chain transactions?","Off Chain Transactions are the movements of value that are placed outside the blockchain."
"Q13. Which threats to information have you come across?","Threats to information are increasing on a daily basis. Listing out the threats you should talk about the threats that you face."
"Q14. Have you heard of the 51% attack?","Yes, it occurs when a group of people hold greater than 50% Network Hash Rate."
"Q15. What elements make up the block of a blockchain?","There are three main elements: 1. Timestamp 2. Hash pointer 3. List of transactions"
"Q16. In what order are the blocks linked in the blockchain?","Blocks are always linked in a backward order."
"Q17. What are the perils of information leak to an organisation?","Not only can an information bring a company into crisis due to reputation harm, but it can also bring about financial losses."
"Q18. Is there a way that a block may be recognised in a Blockchain?","Yes, every block has a pointer that acts as a link to find it."
"Q19. Can you modify the data in a block?","No. Once you have saved the information, to modify it, you would have to erase all information that rests on other associated blocks."
"Q20. How can blocks be identified?","Blocks can be identified by their height and block."
"Q21. Can you remove a complete block from a network?","Yes, it may. There are default options and filters that can help us do this."
"Q22. When a distributed digital ledger records a transaction in Blockchain. In this instance, what does the system rely on?","Network Servicing Protocol & Nodes of Network are there to be relied on in such an instance."
"Q23. Where is a blockchain stored?","It can be either stored as a flat file or as a database."
