"Question","Answer"
"What are filenames that are preceded by a dot?","These are hidden files, often configuration files, to prevent accidental deletion."
"Explain virtual desktop.","Virtual desktops allow users to manage multiple workspaces without minimizing or maximizing windows."
"What does a nameless (empty) directory represent?","It serves as the base of the Linux file system, attaching all other directories and files."
"What is the pwd command?","The pwd command prints the current working directory."
"What are daemons?","Daemons are services that listen for requests and act on them, providing additional functionality."
"How do you switch from one desktop environment to another?","Log out, then choose the desired session type at the login screen."
"What are the kinds of permissions under Linux?","Permissions include read, write, and execute for users, groups, and others."
"How does case sensitivity affect the way you use commands?","Commands are case-sensitive, meaning 'CD', 'cd', and 'Cd' are different commands."
"What are environmental variables?","Environmental variables are global settings that control shell functions and other programs."
"What are the different modes when using vi editor?","Modes include command mode, edit mode, and visual mode."
