"Question","Answer"
"What is array data structure? What are the applications of arrays?","An array data structure stores data in a sequence. Applications include databases and storing frequently accessed information."
"Elaborate on different types of array data structure.","One-dimensional array, Two-dimensional array, Three-dimensional array."
"What is a linked list data structure? What are the applications for the Linked list?","A linked list consists of linked nodes. Applications include implementing stacks, queues, and dynamic memory management."
"Elaborate on different types of Linked List data structures?","Singly Linked List, Doubly Linked List, Circular Linked List."
"Difference between Array and Linked List.","Arrays have fixed size and contiguous memory allocation. Linked Lists have dynamic size and non-contiguous memory allocation."
"What is an asymptotic analysis of an algorithm?","Asymptotic analysis defines the run-time performance of an algorithm in terms of best case, average case, and worst case."
"What is hashmap in data structure?","Hashmap is a data structure that allows access to data in constant time (O(1)) using keys."
"What is the requirement for an object to be used as key or value in HashMap?","The key or value object must implement equals() and hashcode() methods."
"How does HashMap handle collisions in Java?","Using chaining where multiple values are stored in a linked list at the same index."
"What is the time complexity of basic operations get() and put() in HashMap class?","O(1) assuming uniform distribution of elements."
"What is binary tree data structure? What are the applications for binary trees?","A binary tree organizes data for efficient retrieval. Applications include routing tables in networks and decision trees."
"What is binary search tree data structure? What are the applications for binary search trees?","A binary search tree stores items in sorted order. Applications include indexing and implementing search algorithms."
"What are tree traversals?","Inorder, Preorder, Postorder traversals are methods to visit all nodes of a tree."
"What is a deque data structure and its types? What are the applications for deque?","A deque allows insertion and deletion from both ends. Types include Input Restricted Deque and Output Restricted Deque."
"What are some key operations performed on the Deque data structure?","insertFront, insertLast, deleteFront, deleteLast, getFront, getRear, isEmpty, isFull."
"What is a priority queue? What are the applications for priority queue?","A priority queue serves elements based on priority. Applications include graph algorithms and Huffman coding."
"What is graph data structure and its representations? What are the applications for graphs?","A graph consists of nodes and edges. Representations include adjacency matrix and adjacency list."
"What is the difference between BFS and DFS?","BFS uses a queue and explores all neighbors at the present depth before moving on. DFS uses a stack and explores as far as possible along each branch."
"What is AVL tree data structure, its operations, and its rotations? What are the applications for AVL trees?","AVL trees are self-balancing binary search trees. Operations include insertion and deletion, which may require rotations. Applications include in-memory sets and dictionaries."
"What is a B-tree data structure? What are the applications for B-trees?","B-trees are m-way trees used for disk access. Applications include database indexing."
"Define Segment Tree data structure and its applications.","A segment tree stores intervals for range queries. Applications include computational geometry."
"Define Trie data structure and its applications","A trie stores strings as a sorted tree. Applications include autocomplete and spell checking."
"Define Red-Black Tree and its applications","Red-Black Trees are self-balancing binary search trees. Applications include C++ and Java library implementations."
"Which data structures are used for implementing LRU cache?","Queue (doubly linked list) and Hashmap."
"What is heap data structure?","A heap is a complete binary tree used for priority queues."
"Write a program to remove duplicates from a sorted array in place?","Use a single pointer to track unique elements."
"Write a function for zigzag traversal in a binary tree.","Using two stacks to alternate between levels."
"Write a function to sort a linked list of 0s, 1s and 2s.","Count occurrences and rearrange the list."
"Write a function to detect cycle in an undirected graph.","Use DFS with a parent pointer."
"Write a function to convert an infix expression to postfix expression.","Use a stack to hold operators and output the result."
"Write a function to find the maximum for each and every contiguous subarray of size k.","Use a deque to maintain the maximums."
"Write a function to merge two sorted binary search tree.","Inorder traversal of both trees and merge the results."
"Write a function to print all unique rows of the given matrix.","Use a set to track unique rows."
"Write a function to find number of subarrays with product less than K.","Use a sliding window approach."
"Find the subsequence of length 3 with the highest product from a sequence of non-negative integers.","Track the largest three elements."
"Write a function to implement Quicksort on Doubly Linked List.","Partition the list and recursively sort the partitions."
"Write a function to connect nodes at the same level of a binary tree.","Use a queue to traverse and connect nodes."
"Write a function to find number of structurally unique binary trees are possible.","Use Catalan numbers."
"Implement LRU(Least Recently Used) Cache.","Use a hashmap for O(1) access and a doubly linked list for order."
"Write a function to determine whether duplicate elements in a given array are within a given distance of each other.","Use a hash set to track elements within the given range."
"Write a recursive function to calculate the height of a binary tree.","Recursively calculate the height of left and right subtrees."
"Print Left view of any binary trees.","Store the first node of each level during traversal."
"Given an m x n 2D grid map of '1’s which represents land and '0’s that represents water return the number of islands.","Use DFS to explore and mark islands."
"What is topological sorting in a graph?","A linear ordering of vertices such that for every directed edge, vertex i comes before j."
