"Question","Answer"
"Why imported is an easy way to insert the file?","Imported style sheet allows you to import the files which are external or combine one style sheet with another. There can be created many files, different style sheets to have different functions. Import function gives the provision to combine many elements or functionality into one. The syntax to import any file is @import notation, which is used inside the <Style> tag. There is one rule that implies that the last imported sheet will override the previous ones. The syntax is shown by coding as: <Link Rel=Stylesheet Href=\"Main.Css\" Type=\"Text/Css\"> <STYLETYPE=\"text=css\"> <!-- @import url(http://www.careerride.css); @import url(http://www.carrerride.main.css); .... your code \\--> </STYLE>"
"How do I combine multiple sheets into one?","Multiple sheets can be combined by using the <link> tag and the title attribute. The title value allows one or more <link> tags to link with each other. After combination that theme will be applied as combined and will be shown to the user. The syntax of it will be as follows: <link rel= \"text/css\" href=\"default.css\" title=\"combined\"> <link rel= \"text/css\" href=\"style.css\" title=\"combined\"> <link rel= \"text/css\" href=\"para.css\" title=\"combined\"> Another way to combine the style sheets is the use of import which can be used in the <style> tag and the syntax can be given as follows: @import url(site\\_url);"
"What are the rules in CSS ruleset?","CSS consists of two types of CSS rules, first is for ruleset which identifies the style and the selector. It combines the style and the selector. 1. Ruleset is a combination of CSS rules, **For Example:** h1{text-color: 15pt;}, where this is the CSS rule. 2. Ruleset is selector + declaration **For Example:** h1 + {text-color: 15pt;}"
"What is the CLASS selectors used for?","Class selectors are the selectors which are stand alone to a specific style that is declared. Class attribute can be used to declare the style and make an association with any HTML element. The syntax for creation of class selector is: .classname. The name can be from a-z, A-z or in digits. The example code is shown as below: .head{font: 12em;}, this is a class selector <Body class= \"head\"> this is the class that is associated with the element </body>."
"What is the difference between class selector and ID selector?","1. Class selector can be given to an overall block. This is sometimes termed as block element as well, whereas ID selector identifies a unique name and a style for a specific element. 2. ID selector declares the style for only one particular element which can be differentiated from other elements, whereas Class selector is being given for the whole complete block. Example of ID selector is being written like this: #idname {color: red; background: black;} This can be used in HTML as <P ID= \"idname\">this element only will be affected by the use of this ID element</P>"
"What is contextual selector?","Contextual selector specifies a specific occurrence of an element. It is combination of many selectors that are separated by white spaces. In this only the element that matches the specified element will be used not all the elements. For example the syntax of it is being given as: TD p code {color: #000000} The element which is being defined as code will only be displayed as red as its color is being mentioned as red. But this is being done only if it occurs in the p text. TD p code, h1, em {color: red} The element code and em will only be displayed in red only when it occurs in h1 or p."
"What do you understand by parent-child selector?","Parent-child selector represents the direct relationship between parent element and child element. It is been created by using two or more (~) tilde separated selectors. **For example:** Body ~ p {background-color: red; text: #FF00FF;} Here the p element gets declared for a specific element and style only that element but if it has some child element then those elements will also get styled. One more example to show the parent-child relationship as: Body ~ p ~ em {background-color: red; text: #FF00FF;} The syntax in HTML will be written as: <body><p><em> It will show the two colors for em and p</em></p></body>"
"What is ‘important’ declaration used in CSS?","Important declarations are those declarations which have high weightage than normal declarations. These declarations override other declarations of less importance while executing. If suppose there are two statements from two users and both consist of important declaration then the one of the users declaration will override the another users declarations. **For example:** Body {background: #FF00FF !important; color: grey} In this body background has more weight than the color."
"Is there any provision to include one or more declaration in a selector?","There is a provision to include one or more declaration in a selector by using the semicolon as this shows the separation of the properties. **For example:** Selector {declaration1; declaration2} P {background: white; color: black}"
"What is the use and syntax of class in CSS?","Class is a group of attributes and properties that uniquely identify style that can be attached to any element. It also defines instances for different element to which the same style can be attached. The following example shows the use of class in CSS: **P {color:red} :** It will display text color red in all paragraphs. This can be included with each element where the paragraph tag can be used. There can be given one style to one paragraph and another style to other paragraphs. A class may not have any association with the specific element. But any element with which the specific class is attached will have the same style. **For Example:** **CSS** H1.prop1 {color: red} /* one class of P selector */ H2.prop2 {color: blue} /* another class of P selector */ .prop3 {color: green} /* can be attached to any element */ **HTML** <h1 class=prop1>This paragraph will be red</P> <h2 class=prop2>This paragraph will be blue</P> <p class=prop3>This paragraph will be green</P> <h3 class=prop3>This list item will be green</LI>"
"How grouping happens inside a CSS?","Grouping in CSS can be done by using the comma (,) separator in between one or more selectors that share the same style. A list of separator can be separated by using a semicolon as well. **For Example:** H1 {font-style: italic} p.first {font-style: italic} .name {font-style: italic} In the above example all the css element share the same style so instead of writing like that it can be written as: H1, p.first, .name {font-style: italic} This reduces the size of the style sheet and also save the writing time for those sheets."
"What is the purpose of pseudo-elements?","Pseudo elements allow the use of the part of element and not the element itself. They are applied to block level element, which is used for the complete block for which the CSS is being written. This allow the subpart of an element to be styled like paragraphs and headings. **For example:** selector:pseudo-element {property:value;} p: first-line {text-transform: lowercase;} It adds the style to the first line of the code in the paragraph."
"How pseudo-classes are different from pseudo-elements?","Pseudo classes are used to add style and special effects to some selectors which is being used inside some class. The syntax it as follows selector:pseudo-class {property:value;} a:link {color:#FF0000;} pseudo classes can be combined with other classes as well. The syntax of it will be shown as: selector.class:pseudo-class {property:value;} a.red:visited {color:#FF0000;}"
"What does cascade and cascading order defines?","Cascade is a method in CSS that defines the importance of particular style rules. This doesn’t allow any conflict to occur between other elements that is being defined within the same CSS. Declaration with more importance get executed first then others. The syntax is as follows: Selector{property: value ! important} /* increased weight */ selector (property: value} /* normal weight */ Cascading order is a sorting method that consists of some rules of the declarations through which it can be sorted and the conflict can be resolved which might occur between it. In this all the declarations has to be found that apply the selector and properties to a specific elements."
"What are the different sorting methods used inside the cascading order?","Cascading order is a sorting method that allows many different sorting methods like: **1. Sort by origin:** In this some rules will be defined like: - Normal weight in provider’s style sheet will override the style sheet rules of the user’s. - Increased weight in user’s style sheet will override normal weight of style sheet of provider. **2. Sort by selector's specificity:** In this more specific selector will override the selectors that are less specific: **For Example:** - ID selector is the most specific one. - Contextual selectors are less specific. - So, ID selector will override the contextual selector style sheets. **3. Sort by order specified:** If two selectors are same in the weight and other properties then the specification will be seen for overriding. **For Example:** - Style attribute used for inline style will override all other styles. - Link element used for external style will override imported style."
"How inline and block elements are different from each other?","1. Inline elements don’t have line breaks. An Inline element doesn’t have elements to set width and height. **For Example:** em, strong, etc. codes are few examples of inline elements. 2. Block elements do have line breaks and they define the width by setting a container. It also allowed setting height. It can contain the elements that occur in inline elements. **For Example:** width and height max-width and max-height min-width and min-height hi (i=1-6)- heading element p- paragraph element."
"How does inheritance work in CSS?","Inheritance is a concept that is used in HTML and other languages but it is used in CSS as well to define the hierarchy of the element from top level to bottom level. In inheritance child will inherit the properties of parent. In this the restriction is being applied that not all the properties can be applied. Inheritance passes its properties to its children class so that the same property doesn’t have to define the same property. Inherited properties can be overrided by the children class if child uses the same name properties. **For Example:** Body {font-size: 10pt;} And another definition is being defined in the child class Body {font-size: 10pt;} H1 {font-size: 14pt;} All the paragraph text will be displayed using the property defined in the body except for the h1 style which will show the text in font 14 only."
"What are the advantages of the external over inline style methods?","1. External Style Sheets are useful as it keeps the style and content separately and doesn’t allow it to mix with each other. It can control the styles for multiple documents, whereas inline style mixes the content with the style and make the code messier. 2. External style sheet allows the creation of various classes in a structured way, whereas inline style sheet can’t create or control class elements. 3. External style sheet can use selector and grouping methods to apply styles, whereas inline styles can’t use selector and grouping methods."
"How do you override the underlining of hyperlinks?","The concept of override the underlining of hyperlinks in CSS is done by using control statements and using external style sheet. **For Example:** A { text-decoration: none; } Suppose this is being written in CSS file and in the anchor tag in HTML the format is being written as: <a href=\"career.html\" style=\"text-decoration: none\">link text</a> So, anything thing written as inline will override the style for the hyperlink used in external style sheet."
"How to center the block-elements with CSS?","CSS allows you to style your web-pages and sheets so that you can visualize it in better way. This can be done in two ways: 1. It can be done by defining the properties like margin-left and right to auto and width can be given any value. **For Example:** body {width: 30em; background: cyan;} h1 {width: 22em; margin-left: auto; margin-right: auto} 2. It can be done by the use of table like: Table {margin-left: auto; margin-right: auto; width: 400px;} This table width is being defined by the content used. These are the methods that are used to center the block element."
"What will happen if we will use floats across the page with 100% width?","In CSS if float declaration is being made then it adds some width in the form of border and it allows it to float even more. So, the width can be used just by adding the border of say 1 pixel in CSS element."
"What is the Difference between id and class?","The id and class is being used in HTML and includes the values from CSS. The difference is as follows: 1. Id is an attribute that it uniquely assigns a name to a particular element, whereas class defines an element with certain set of properties which can be used for a complete block. 2. Id can be used for an element and uniquely identifies it, whereas class is used as block element and applied to many tags where it is used. 3. Id restricts the use of properties to one specific element, whereas class applies the rules and properties to specific block or group of elements."
"How to restore the default property value using CSS?","CSS doesn’t provide any default values that can be used if the user wants to revert back to the old values. The only option which can be performed to restore the default property value is to re-declare the property which you want to revert back to. Rules should be defined for using the selectors like tag name, etc. that you want to override for more specific values."
"What is the purpose of Nesting Selectors?","Nesting selectors are the selectors that define a selector inside another selector. **For Example:** H1 {color:blue; text-align:center;} .marked {background-color:red;} .marked h1 {color:white;} In this a particular style is being defined for the element of h1, and another is given for all other elements. Here the class is given as “marked” and one more style given for h1 element within the h1 style."
"How CSS float works?","CSS float is useful when you don’t have to give width for an element or you don’t want to keep the element fixed. It allows the elements to be given left or right boundaries to expand and wrap all other elements. Float is basically used for images and for layouts. Elements in this can be made float horizontally i.e. left or right. **For Example:** img{float:right;}"
"What is the use of Media Types in CSS?","Media types in CSS define the media like audio and video to be used in your HTML document to represent the properties in a better way. The font property can be used for media types as it can be used for print media or screen media. Document requires a defined media to represent the screen that can be read on the paper. It is used as:@media <html> <head> <style> @media screen { p.test {font-family:verdana,sans-serif;font-size:14px;} } @media print { p.test {font-family:times,serif;font-size:10px;} } </style> </head> <body> \\----------Your code here---------- </body> </html>"
"What are the different Media Types included in CSS?","Media types are not case sensitive and it allows you to define different properties in different media. The different media type that is included in CSS is: **1. Aural –** Used for speech and sound synthesizers **2. Print –** Used to show the content as they will look when you will use the print command **3. Projection -** Used to show the CSS for the projectors **4. Handheld -** Used for handheld devices Used for screens like computers and laptop."
"Why CSS Box Model is used? What are the elements that it includes?","CSS box model defines the design and layout of the styling element. It is a box that shows the elements that will come before others. Like, it consists of margins, borders, padding, and the actual content. It allows a structured way to show the elements in comparison to other elements. The terms that are used in box model is shown as: **1. Margin –** It shows the top most layer and it shows the overall structure which consists of border and other elements that is being shown below. **2. Border –** It shows the padding and content option and keep a border around it. Border can be affected by background color. **3. Padding –** It shows the space between the content blocks. It is affected by the background color. **4. Content –**. It shows the actual content like text and images. These all are essential terms that allows you to understand the structure and apply it to your code."
"Write the css code showing the usage of all the background properties.","With the help of css there are several ways to change the background properties of an html page. For ex. the following code will place the background image at the center of the body element. Also the background would not be repeated and the scroll would be locked. BODY { font-family : \"Verdana, Arial, Helvetica, sans-serif; background-image: url(images/background\\_image.gif); background-repeat: no-repeat; background-position: center; background-attachment: fixed; background-color: #FF00FF; color : #FF0000; margin: 20px; }"
"How are contextual selectors used in CSS?","The contextual selector is a special type of selector that is used to select special occurrences of an element. This selector is a string of individual selectors separated by spaces. It defines a search patterns of the element where only the last element in the pattern is addressed to. **For Example:** TD P TEXT {color: blue} This implies that the TEXT will appear blue in color only if it occurs in the context of the element P which itself occurs in the context of TD. P.about {color: red} This implies that any element specified with class .about will appear in red color but only if it occurs in context to P."
"How can the same properties be defined for different elements without repeating them again and again? Explain with an example:","In order to specify the same style properties for multiple elements in css we can make use of class. Class in general are a group of instances of the same elements to which the same style can be assigned or it can be a group of different instances to which a common style can be assigned. **For Example:** **CSS code** P.class1 {color: red} /* defines a class of P selector */ P.class2 {color: blue} /* defines another class of P selector */ .class3 {color: green} /*this class can be used with any element*/ **HTML code** <P class=class1>This paragraph will be colored in red</P> <P class=class2>This paragraph will be colored in blue</P> <P class=class3>This paragraph will be shown in green</P> <LI class=class3>This list item will also be green</LI>"
"How can imported style sheets be linked? Explain with the help of an example?","- Imported style sheets are those style sheets which as their name suggests can be combined for use with another sheet. By doing so the designer is able to create a single main sheet which has declarations that apply to the whole site and specific style sheets that apply only to certain specific elements. - In order to import a style sheet the style element must contain the @notation. In case of multiple sheets being imported they will be done so in the order they are imported. The last imported sheet would over write any previous style sheet property. **For Example:** <LINK REL=STYLESHEET HREF=\"major.css\" TYPE=\"text/css\">< BR><STYLETYPE=\"text=css\"> <!-- @import url(http://www.css.stylesheet1.css); @import url(http://www.css.stylesheet2.css); \\--> </STYLE>"
"Explain with the help of an example the usage of a parent-child selector.","The parent-child selector as the name suggests is used for selecting the direct descendent of a parent element. This selector is represented by using the “~” tilde symbol between two selectors. **For Example:** body ~ li {background: blue; color: red} This specifies that the LI element will be declared the above style rules only when the LI would be a descendant of the BODY element. body ~ li ~ em {background: blue; color: white} In this example the em will be specified the above properties only when it is a descendant of li which itself is a child of body. The parent child selector can be used to specify a particular element when there are multiple instances of the same element."
"Why should inline styles be used carefully?","Inline style rules allows a user to attach individual styles to individual elements in an HTML document. The syntax of an inline style rule attached to an HTML element: <p style=”color: red;”> Red text</p> Inline styles are generally not the preferred way of applying a style rule and must be used carefully because of the following reasons: 1. The style rules can easily get mixed up in an HTML page code. 2. The entire rule must be specified in the value of the style attribute, this can be tough in case of long rules. 3. By using inline styles the user is unable to take advantage of CSS properties such as grouping selectors and re usability of a style sheet. 4. It is generally advised to use either internal or external style sheets as they are more convenient to manage and can be changed easily as they are at the same place."
"How do hexadecimal color codes differ from RGB values?","In CSS a user can specify a color in two ways: **1. Hexadecimal color codes:** These as their name suggest use six characters to represent a color. It is a combination of numbers and letters. When you use a hexadecimal code to specify a color it should always be precede by a “#”. This ensures that the color is displayed correctly in a browser. **Example:** p {color: #0000FF;} **2. RGB color values:** Every color can be defined as a mixture of red, green and blue. In CSS the user can also define the value of a color by specifying the RGB values in two different ways: **- rgb(r,g,b):** In this type the values can be in between the integers 0 and 255. **- rgb(r%,g%,b%):** The rgb basically represent the percentage of red, green and blue of the color. The hexadecimal values of a color are the ones that are most widely used."
"What is the use of a pseudo class? Explain with the help of an example?","The pseudo classes are used to define the css properties of an element that does not exist otherwise. Pseudo classes enables the user to define the style properties of an element which otherwise would not have been possible. The pseudo class name is always preceded by a colon “ : ”. Pseudo classes can be used with: 1. Elements 2. Classes 3. ID’s Some of the common pseudo classes that are used with hyperlink are: 1. **link** defines the properties of the link that have not been visited. 2. **visited** defines the properties if the links that have been visited. 3. **hover** defines the properties of the link when the mouse cursor hovers on them. **For Example:** a:link {color: black;} This will set the color of any hypelink that points to an unvisited link and will appear in black color."
"How is a CSS executed in case of more than one conflicting rule?","If there are two or more css rules which are pointing towards the same element there are some basic rules that a browser follows in order to know which is the most specific and will be executed / applied. **For Example:** p {color: red;} p {color: blue;} In the above case all the p contents would appear blue as this rule was specified the last. In css every element is assigned a unique specificity value. Based on the specificity value a style rule is executed. **For Example:** p : this has the specificity of 1 div p : this has a specificity of 2 ( ie 1 + 1 of two selectors ) .class : has a specificity of 10 #id : This has a specificity of 100. In this way whichever selector has the highest specificity will apply in case of multiple selectors pointing at the same element."
"Explain with the help of examples how the display property is used in CSS.","In CSS the user has the ability to define how the content will be displayed. There are three fundamental types of display: **1. Inline:** The elements are displayed in a line. **2. Block:** In this display style a line break is placed before and after every element. **3. None:** Does not display the elements. The syntax of specifying a display style is: h1 { display: inline; } CSS provides the user with further more display styles such as: **1. list-item:** Does the same work as the HTML li element. Displays the content in a list. **2. marker:** This property is exclusively used with the pseudo elements :before and :after. **3. Tables:** The table properties can be used in similar way to the table elements provided by HTML but css further extends the functionality by providing properties like table-column, table-caption etc. **For Example:** div.test { display:inline; zoom:1.0; }"
"Explain what are image sprites and how are they used in css.","Image sprites are basically a collection of images put into a single image. A web page can contain multiple images and loading them all one by one can be a slow process. By using image sprites only a single image is used and by specifying the area of the image to be displayed the same image can be used multiple times. **For ex:** We have an image.gif which contains the home, forward and back navigation buttons. With the help of css the user can simply specify only the part of the image that is needed. Now the user wants to only display the home part of the image for the home button. **CSS code:** img.home { width:50px; height: 44px; background: url (image.gif) 0 0 ; } In the above css code only a part of the overall image.gif will be used, in this case the home page button area only. By using image sprites the page loading time can be reduced by substantial margins. The user only needs to know absolute image area to be displayed."
"With the help of examples explain grouping and nesting of css selectors.","**Grouping selectors:** In css the designer can reduce the code by simply grouping together selectors with the same property values. **For Example:** h1 {color: green;} h2 {color: green;} p {color: green;} As you can see from the above code all the elements have the same property. To avoid rewriting the same code again and again the user can simply group the selectors by separating each selector with a comma. **Grouped selectors:** h1,h2,p {color: green;} **Nesting selectors:** This enables the user to specify a style for a selector within a selector. **For Example:** p { color:blue; text-align:center; } .marked { background-color:red; } .marked p { color:white; } In the above example separate properties are assigned for p and the .marked class. But the last value that is .marked p implies that the property will apply to p elements with class defined as .marked."
"How can HTML elements be styled having specific attributes?","Css allows the user to style the html elements that have specific attributes. It does not only rely on class and id. **For Example:** [title] { color:red; } This will simply color any attribute containing title. Css also allows the user to specify an attribute with a particular value. **For Example:** [title=test] { color:red; } This will simply color the text test that appears anywhere in the title attribute. Also the user can specify an attribute with multiple values. **For Example:** [title~=test] {color:blue;}"
"What are the different provisions provided in css to define the dimension of an element?","In css the user can choose from multiple dimension properties to style an element. The list of css dimension properties are: **1. height:** This property allows the user to specify the height of a specific element. **2. max-height:** This allows the user to set the maximum height of an element. **3. max-width:** This specifies the maximum width of an element. **4. min-height:** It allows the user to specify the minimum height of an element. **5. min-width:** Used to set the minimum width of an element. **6. width:** This property is used to set the width of an element. **For Example:** img.big {height:100px} <!-- specifies the height of an element--> img.big {max-height:100px} <!-- specifies the maximum height of an element-->"
"Explain the concept of the box model in css.","CSS uses the concept of a box model which implies that every HTML element is a box. This term is used when we are talking about design and layout. The CSS box model is actually a box that wraps an HTML element. A box comprises of the following components: **1. margins:** Used to clear an area around a border. **2. border:** Border goes around the padding and the content. **3. padding:** Used to clear the area around the content. **4. content:** This contains the actual content of the box that is the text and the images. It is important to note that when a user sets the height and width of an element, they are doing so only for the content area. To know the fill size of the element the user must also specify the other layers i.e. the padding border and margins. **For Example:** p { width:220px; padding:10px; border:5px solid gray; margin:0px; } The total width of an element is calculated like this: Total element width = width + left padding + right padding + left border + right border + left margin + right margin The total height of an element is calculated like this: Total element height = height + top padding + bottom padding + top border + bottom border + top margin + bottom margin."
"How is the float property implemented in css?","The css float property allows an element to be pushed to the left or right which allows other elements to wrap around the floated element. The elements specified before the float element will not be affected. Only the elements specified after the floated elements will float around the element. **For Example:** img { float:right;} This implies that if an image is floated towards the right then the text that follows its would flow around it on the left. The user can also float multiple elements together. The elements would float if there is space available for them to float. Any float element will cause the other elements following it to float around it, to avoid this the user can make use of the clear property. The clear property is used to specify the sides of an element on which the floating of elements is not allowed. **For Example:** .line {clear:both;} This would prevent the elements from floating around after the float element."
"What is the purpose of the z-index? Explain with the help of an example.","While using css to position html elements they may overlap each other. The z index is used to specify which element overlaps which element. The z-index is a number which can either have a
